day;bikes;zb;dist.total;ga;gd;sop;tczew;rumia;s10111;s10111d;s10112;s10112d;zstat;sstat;gd0p;ga0p;sop0p;tczew0p;rumia0p;gd1p;ga1p;sop1p;tczew1p;rumia1p;slope3;slope5;stage2;stage4;stage6;stage8;stage10;stage12;stage14;stage16;stage18;stage20;stage99
2019-04-13;626;102;8129.4;1409.1;5632.6;565.4;208.8;109.0;0.25;0.20;0.56;0.61;65.34;84.37;71.23;64.16;53.35;37.98;59.70;88.94;83.10;72.11;62.31;82.60;66.3;8.0;2188.2;2326.2;1459.3;1171.3;405.9;199.5;257.7;46.6;17.0;36.6;21.2
2019-04-14;616;85;8608.5;1483.0;5765.3;741.9;229.7;86.3;0.95;0.71;1.45;1.82;65.88;85.76;71.67;66.38;47.29;41.65;54.01;89.63;86.18;72.36;66.98;83.51;73.7;10.0;2010.9;2571.2;1684.4;1046.2;486.0;363.8;188.7;148.7;16.0;38.5;54.2
2019-04-15;663;133;11212.1;1878.0;7692.6;692.0;364.7;162.8;0.31;0.42;0.48;0.63;68.01;87.15;72.87;68.70;57.47;45.90;60.58;89.88;88.66;84.73;67.58;84.94;79.4;9.3;2766.1;3482.2;2291.8;1392.5;568.5;295.5;119.4;44.4;34.4;37.7;179.7
2019-04-16;690;101;13159.0;2392.1;8938.9;779.7;321.7;206.8;0.34;0.45;0.27;0.36;68.71;86.72;72.25;71.62;64.43;43.79;66.19;89.74;89.07;85.09;64.04;82.92;87.3;6.7;2854.1;3609.7;2621.0;1480.5;636.9;438.6;513.3;232.2;556.8;0.0;216.0
2019-04-17;805;103;15168.1;3267.2;9792.6;931.3;400.5;182.6;0.08;0.05;0.57;0.62;66.95;85.55;72.28;63.46;63.15;47.13;65.96;90.22;82.39;83.66;70.83;79.58;131.5;9.6;3266.2;4040.5;3087.1;1857.7;1010.0;392.1;700.1;337.3;319.9;114.6;42.5
2019-04-18;770;75;16116.9;3606.7;10539.6;914.8;366.0;178.6;0.57;0.48;0.70;0.91;64.13;84.17;70.27;55.96;63.41;50.42;63.61;87.80;79.22;87.23;73.82;81.46;103.9;11.4;3309.8;4549.0;3210.8;2221.3;888.4;619.0;308.1;462.1;326.1;149.6;72.6
2019-04-19;821;93;13551.1;2806.5;8847.7;754.4;334.4;210.5;0.48;0.56;0.61;0.81;60.63;82.56;65.32;56.54;55.95;52.62;58.54;85.08;81.25;78.91;74.09;84.42;122.4;14.1;3123.9;3666.4;2689.9;1938.0;789.9;457.9;262.3;209.6;166.9;96.6;149.7
2019-04-20;804;98;8232.1;1841.7;5133.8;546.8;262.3;154.5;0.70;0.61;1.26;1.50;55.83;79.05;60.40;56.24;34.74;44.51;45.18;82.31;79.85;60.13;67.27;75.83;66.6;8.4;2041.8;2293.2;1581.5;1059.9;503.2;229.9;62.7;75.6;84.6;210.8;88.9
2019-04-21;799;139;5568.6;1214.4;3318.6;496.9;170.4;113.1;3.26;3.63;1.73;1.76;53.51;76.80;57.77;55.09;30.80;42.43;39.59;79.90;79.10;55.00;64.30;72.75;52.8;10.5;1403.4;1480.3;1061.1;681.6;244.2;244.5;65.1;107.7;50.0;0.0;230.6
2019-04-22;799;128;7990.4;1619.4;4960.0;809.5;247.7;104.3;4.39;3.96;1.37;1.49;56.11;78.52;60.20;59.05;27.03;44.53;48.93;81.70;81.69;48.24;65.77;78.05;60.7;3.9;1679.0;1966.2;1650.8;1000.0;757.7;496.2;89.2;101.2;33.1;55.0;161.9
2019-04-23;850;107;13420.8;2341.3;8911.9;955.3;347.9;254.8;3.99;3.83;1.97;1.48;58.77;80.26;63.00;62.30;31.43;45.41;52.74;82.65;83.60;57.35;70.09;80.88;101.8;11.2;3239.6;3788.3;2735.0;1558.5;710.3;505.6;259.5;206.2;215.5;75.5;126.7
2019-04-24;832;83;17322.1;3301.0;11414.9;1275.0;474.8;288.5;1.72;0.63;1.00;1.05;63.55;84.01;67.65;63.44;51.26;46.05;61.33;85.34;85.99;78.65;71.62;83.35;143.7;9.3;3865.7;5036.4;3757.1;2085.1;1165.3;446.9;350.8;192.6;184.8;174.1;63.3
2019-04-25;833;93;18911.3;3487.2;12338.2;1411.9;573.7;326.4;0.36;0.48;0.90;0.84;68.02;86.47;71.06;70.78;57.99;52.74;68.31;88.71;88.89;76.18;77.08;86.15;108.8;15.4;3634.7;5107.4;4067.0;2799.5;1446.7;684.0;429.9;163.3;117.2;170.8;291.0
2019-04-26;830;88;19218.0;3548.5;12375.2;1732.5;565.3;336.7;0.43;0.28;0.86;1.04;69.51;87.66;72.98;73.74;62.36;52.71;64.16;89.71;90.72;85.83;77.58;86.69;108.1;4.6;3751.4;5021.4;4011.9;2875.6;1529.6;762.1;423.0;400.1;219.1;132.3;91.5
2019-04-27;806;96;16048.2;3398.9;9913.5;1625.7;482.0;236.6;0.90;0.63;1.10;1.26;67.75;86.14;72.24;65.16;58.93;46.31;66.67;89.80;83.11;81.88;75.28;88.55;106.6;8.6;2914.9;3996.1;3313.3;2496.4;1052.9;860.5;456.3;400.8;221.1;169.0;166.9
2019-04-28;766;109;10005.8;2025.2;6519.8;753.5;364.8;147.1;0.55;0.40;1.65;1.44;60.44;81.72;66.98;49.81;48.21;51.38;54.54;86.41;73.83;75.89;73.71;83.58;80.6;7.2;2496.4;2894.9;1954.2;1266.2;517.4;460.3;154.9;103.4;118.1;19.7;20.2
2019-04-29;750;70;16438.8;3820.6;10032.5;1218.5;478.0;321.0;0.61;0.43;1.56;0.97;65.48;85.08;70.97;60.92;57.15;51.40;57.06;88.34;82.70;81.65;77.14;81.42;112.0;12.1;3478.2;4440.8;3335.3;2435.8;1210.4;581.8;339.5;179.0;189.5;95.1;153.4
2019-04-30;803;65;17285.8;3917.6;10423.4;1344.3;549.7;336.0;0.83;0.88;0.46;0.50;64.16;84.86;70.41;60.05;56.87;51.19;56.90;88.08;83.54;82.46;76.96;85.17;110.1;12.5;3488.3;4554.7;3576.5;2477.0;1390.6;638.2;436.7;161.6;166.5;96.1;299.5
2019-05-01;825;86;13044.5;3275.8;7303.7;1405.7;393.2;186.3;1.80;1.40;0.17;0.22;64.69;83.77;70.15;60.52;58.66;58.71;58.84;87.80;82.35;76.89;76.02;79.99;87.1;8.4;2318.4;3092.2;2493.6;1774.8;1312.7;660.0;335.7;407.6;153.1;266.3;230.1
