date;bikes;time;hhmm;dist;speed;mediantime;bike25;bike00;bikesTotal;zb;distTotal
2019-04-13;633;94674;1577:54;8524.4;5.40;36.6;114;7;626;102;8129.4
2019-04-14;622;133736;2228:56;9041.9;4.06;59.3;132;5;616;85;8608.5
2019-04-15;670;128910;2148:30;11611.4;5.40;37.5;218;15;663;133;11212.1
2019-04-16;699;144824;2413:44;13679.4;5.67;39.7;248;15;690;101;13159.0
2019-04-17;818;206192;3436:32;16088.5;4.68;58.3;277;13;805;103;15168.1
2019-04-18;783;190276;3171:16;16822.2;5.30;46.2;308;7;770;75;16116.9
2019-04-19;844;169012;2816:52;14911.9;5.29;46.0;242;20;821;93;13551.1
2019-04-20;817;125314;2088:34;8978.9;4.30;54.0;76;17;804;98;8232.1
2019-04-21;806;88676;1477:56;5927.0;4.01;57.3;22;22;799;139;5568.6
2019-04-22;808;122746;2045:46;8722.5;4.26;61.0;81;18;799;128;7990.4
2019-04-23;869;158133;2635:33;14338.1;5.44;40.9;218;12;850;107;13420.8
2019-04-24;869;224008;3733:28;18214.0;4.88;47.6;335;28;832;83;17322.1
2019-04-25;860;287654;4794:14;20214.6;4.22;67.8;377;14;833;93;18911.3
2019-04-26;870;309912;5165:12;20605.8;3.99;71.8;380;31;830;88;19218.0
2019-04-27;822;293650;4894:10;17310.5;3.54;87.8;331;8;806;96;16048.2
2019-04-28;786;172204;2870:4;10750.4;3.75;65.7;141;11;766;109;10005.8
2019-04-29;773;224400;3740:0;17517.9;4.68;54.5;338;12;750;70;16438.8
2019-04-30;824;239204;3986:44;18141.6;4.55;58.7;342;13;803;65;17285.8
2019-05-01;845;236708;3945:8;13913.9;3.53;87.9;231;20;825;86;13044.5
2019-05-02;832;139724;2328:44;11124.0;4.78;52.0;136;5;823;121;10267.6
2019-05-03;909;173596;2893:16;12090.1;4.18;63.2;136;7;906;112;11254.1
2019-05-04;929;208194;3469:54;13902.4;4.01;65.9;192;4;926;96;13172.1
2019-05-05;968;226970;3782:50;12885.5;3.41;75.8;145;15;959;97;12104.6
2019-05-06;973;215394;3589:54;17216.9;4.80;43.5;300;6;962;104;16545.8
2019-05-07;1003;228368;3806:8;20366.9;5.35;40.9;374;12;984;77;19471.8
2019-05-08;1027;264556;4409:16;21716.4;4.93;48.3;409;13;997;78;20863.8
2019-05-09;1151;220364;3672:44;18633.3;5.07;41.1;306;67;1079;179;17677.6
2019-05-10;1195;321572;5359:32;24186.1;4.51;54.4;463;83;1124;122;23179.5
2019-05-11;1040;279514;4658:34;19938.3;4.28;57.7;360;10;1031;116;19169.5
2019-05-12;1013;199870;3331:10;15577.5;4.68;50.2;221;10;1006;111;14889.8
2019-05-13;1029;202402;3373:22;18554.8;5.50;36.5;297;4;1023;96;17903.5
2019-05-14;1122;230018;3833:38;20052.6;5.23;38.9;321;12;1106;106;19405.7
2019-05-15;1139;164356;2739:16;15327.7;5.60;36.5;178;12;1133;119;14480.9
2019-05-16;1203;193356;3222:36;17401.6;5.40;37.4;232;7;1195;141;16571.7
2019-05-17;1181;191678;3194:38;15583.4;4.88;44.2;188;7;1190;171;14784.3
2019-05-18;1175;224504;3741:44;16310.6;4.36;50.8;200;12;1167;131;15374.5
2019-05-19;1105;203750;3395:50;13988.1;4.12;59.5;148;10;1098;138;13188.6
2019-05-20;1156;300010;5000:10;22850.6;4.57;54.5;406;26;1133;115;21390.2
2019-05-21;1159;329166;5486:6;23831.1;4.34;63.5;434;31;1124;136;21954.5
2019-05-22;1172;385928;6432:8;26294.1;4.09;72.3;490;20;1119;121;24155.1
2019-05-23;1194;317718;5295:18;26251.3;4.96;47.8;492;14;1181;99;25076.2
2019-05-24;1154;378100;6301:40;24628.2;3.91;99.2;443;9;1133;80;23336.9
2019-05-25;1137;323118;5385:18;23880.9;4.43;61.3;430;8;1130;76;22667.6
2019-05-26;1094;243258;4054:18;17811.0;4.39;57.2;273;10;1082;100;16824.8
2019-05-27;1145;283480;4724:40;22440.0;4.75;53.1;370;54;1138;107;20874.6
2019-05-28;1175;177734;2962:14;15370.1;5.19;40.5;152;15;1159;137;14197.7
2019-05-29;1185;332880;5548:0;27352.3;4.93;49.1;520;11;1190;114;25958.1
2019-05-30;1189;350900;5848:20;27268.9;4.66;55.1;500;11;1173;72;25892.1
2019-05-31;1173;326668;5444:28;25786.0;4.74;50.4;479;17;1141;80;24157.8
2019-06-01;1209;370696;6178:16;26569.1;4.30;64.7;503;8;1183;79;24583.0
2019-06-02;1179;408922;6815:22;26895.4;3.95;79.7;515;15;1154;82;24711.1
2019-06-03;1149;402288;6704:48;28350.2;4.23;72.9;533;22;1103;74;26367.6
2019-06-04;1200;432040;7200:40;32198.0;4.47;69.0;616;34;1150;126;28778.2
2019-06-05;1254;449630;7493:50;34017.7;4.54;61.5;675;15;1233;75;31078.0
2019-06-06;1259;435174;7252:54;35709.1;4.92;53.6;684;14;1230;72;32705.9
2019-06-07;1207;427876;7131:16;28829.8;4.04;75.7;530;5;1190;89;26653.9
2019-06-08;1262;398856;6647:36;26669.4;4.01;70.3;495;15;1243;118;24991.8
2019-06-09;1250;482022;8033:42;29114.7;3.62;89.2;557;17;1228;95;26876.6
2019-06-10;1230;323922;5398:42;26660.8;4.94;49.8;491;10;1205;96;25300.2
2019-06-11;1307;464620;7743:40;32220.9;4.16;70.4;602;13;1282;86;30259.6
2019-06-12;1295;475058;7917:38;35085.4;4.43;63.7;690;26;1239;81;31944.0
2019-06-13;1230;293650;4894:10;22320.6;4.56;52.7;384;22;1189;129;19843.5
2019-06-14;1394;458284;7638:4;36510.3;4.78;54.7;723;19;1362;155;34207.1
2019-06-15;1411;451214;7520:14;32331.0;4.30;68.8;624;9;1391;134;29775.5
2019-06-16;1399;376750;6279:10;24834.5;3.96;71.0;421;11;1376;137;22829.7
2019-06-17;1387;472016;7866:56;35042.9;4.45;62.4;664;10;1370;107;32573.7
2019-06-18;1363;490980;8183:0;36553.3;4.47;65.2;720;22;1321;107;33695.0
2019-06-19;1372;470920;7848:40;37028.4;4.72;55.2;732;20;1338;96;34587.2
2019-06-20;1341;420916;7015:16;27159.6;3.87;76.5;498;18;1296;106;23891.6
2019-06-21;1328;467966;7799:26;31041.6;3.98;74.9;579;9;1290;92;28421.7
2019-06-22;1263;450528;7508:48;31235.5;4.16;73.0;621;13;1245;72;29029.4
2019-06-23;1310;460036;7667:16;29405.0;3.84;84.0;563;9;1288;111;27484.6
2019-06-24;1318;434694;7244:54;31103.9;4.29;64.2;599;13;1272;95;29432.5
2019-06-25;1343;467524;7792:4;33223.5;4.26;66.6;632;20;1305;104;30598.2
2019-06-26;1363;476280;7938:0;33834.0;4.26;69.6;648;18;1326;101;31771.7
2019-06-27;1357;394534;6575:34;30372.1;4.62;55.0;554;15;1322;122;27916.2
2019-06-28;1357;429944;7165:44;33271.3;4.64;59.9;633;25;1309;120;31329.9
2019-06-29;1312;439108;7318:28;30749.1;4.20;69.5;599;25;1271;93;28938.7
2019-06-30;1285;389104;6485:4;28878.4;4.45;65.8;558;22;1237;110;26305.7
2019-07-01;1308;345532;5758:52;28155.9;4.89;54.1;527;31;1231;120;25701.5
2019-07-02;1330;309234;5153:54;26501.1;5.14;44.2;480;13;1281;113;24925.1
2019-07-03;1341;333058;5550:58;27063.0;4.88;49.0;492;12;1299;101;25684.5
2019-07-04;1361;289860;4831:0;24889.7;5.15;45.5;432;22;1331;133;23211.6
2019-07-05;1407;318490;5308:10;26262.5;4.95;47.4;455;12;1388;138;25058.9
2019-07-06;1447;181644;3027:24;14170.0;4.68;45.5;113;11;1416;252;13153.9
2019-07-07;1433;266118;4435:18;20019.3;4.51;55.8;270;11;1402;198;18983.6
2019-07-08;1392;163080;2718:0;13890.8;5.11;41.9;90;10;1350;204;12771.8
